1,2,3,4,5,6,7,8,9,10
2.899536769,2.9033192,2.849540193,2.914962238,2.928644364,2.916861236,2.902421225,2.906975811,2.853432782,2.917785834
2.898994092,2.906002027,2.867566198,2.903306667,2.932695072,2.935758798,2.899210612,2.906303926,2.867667291,2.904828188
2.889740514,2.885230605,2.850973074,2.898627033,2.912634409,2.892961877,2.896365844,2.893444575,2.858368633,2.905328076
2.901996027,2.902942011,2.871882193,2.909406237,2.938069561,2.907829597,2.902132118,2.903154804,2.87197867,2.910350169
2.898522272,2.90230555,2.864472775,2.919933578,2.927950036,2.910485609,2.901895106,2.903208816,2.865572233,2.922352085
2.899192555,2.902441011,2.852333325,2.909831994,2.928716751,2.931408896,2.902447981,2.906231871,2.858011021,2.914129123
2.904873004,2.902550726,2.862207893,2.915998337,2.937384899,2.912811955,2.906695989,2.903144864,2.863229936,2.917554328
2.901207335,2.903153718,2.843724138,2.916057521,2.928038593,2.9208586,2.904253599,2.906659899,2.84928549,2.919178175
2.900902861,2.902836411,2.84666946,2.915471625,2.928482808,2.921648244,2.903801129,2.906126344,2.85188684,2.918423992
2.8886277,2.88538224,2.849501156,2.899424351,2.908061672,2.885136568,2.896205853,2.894188978,2.856545666,2.907146471
2.889732062,2.884543874,2.849852036,2.898727892,2.912555639,2.894074109,2.896372481,2.892742615,2.857170564,2.905443178
2.896521042,2.902661854,2.859488182,2.914379527,2.936436324,2.918327193,2.896979165,2.903272275,2.861558171,2.916059055
2.884401343,2.884223906,2.842090661,2.892498927,2.903209676,2.89630576,2.893470077,2.894863166,2.849460249,2.901664231
2.90092923,2.903638012,2.862682401,2.914620358,2.935024556,2.920891778,2.902793444,2.904257477,2.863790248,2.915820512
2.889736501,2.884289104,2.851906158,2.899177938,2.9124304,2.893235323,2.896183309,2.892438409,2.859375158,2.905702145
2.901516487,2.902157482,2.869813951,2.906644446,2.930147589,2.919010304,2.901720454,2.902454676,2.86997695,2.907669173
2.892520571,2.890252351,2.851189629,2.902551984,2.914519451,2.898025036,2.8983518,2.898494545,2.858144984,2.908533095
2.900584795,2.904117576,2.869184202,2.907736105,2.932482722,2.918968977,2.900750355,2.904441256,2.869297281,2.90865558
2.897496768,2.895223057,2.858951085,2.916456304,2.930223898,2.914379527,2.900604812,2.896887091,2.861888864,2.919360426
2.886090675,2.885576192,2.844631945,2.897294964,2.905855385,2.891921479,2.894251205,2.89504411,2.851231423,2.905547761
2.875803424,2.896608102,2.833912923,2.897646173,2.894337321,2.891742143,2.886898502,2.900931619,2.843518546,2.903359931
2.883622145,2.883231138,2.839207322,2.890571403,2.898000533,2.892917444,2.89285219,2.894901551,2.847311946,2.900581207
